87.918: [GC [PSYoungGen: 252672K->5184K(254464K)] 759364K->517788K(778752K), 0.0395582 secs] [Times: user=0.06 sys=0.00, real=0.03 secs] 
88.894: [GC [PSYoungGen: 251968K->4736K(254464K)] 764572K->522524K(778752K), 0.0377585 secs] [Times: user=0.09 sys=0.00, real=0.05 secs] 
88.932: [Full GC [PSYoungGen: 4736K->0K(254464K)] [ParOldGen: 517788K->424577K(524288K)] 522524K->424577K(778752K) [PSPermGen: 7624K->7621K(21504K)], 1.9413980 secs] [Times: user=5.30 sys=0.02, real=1.94 secs] 
91.822: [GC [PSYoungGen: 246784K->4800K(254976K)] 671361K->429377K(779264K), 0.0252744 secs] [Times: user=0.03 sys=0.00, real=0.03 secs] 
92.779: [GC [PSYoungGen: 252096K->7072K(254464K)] 676673K->436481K(778752K), 0.0324961 secs] [Times: user=0.06 sys=0.00, real=0.03 secs] 
93.753: [GC [PSYoungGen: 254368K->5472K(254464K)] 683777K->441641K(778752K), 0.0268286 secs] [Times: user=0.09 sys=0.00, real=0.03 secs] 
94.791: [GC [PSYoungGen: 252256K->5600K(254464K)] 688425K->447217K(778752K), 0.0288188 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
95.790: [GC [PSYoungGen: 252384K->5088K(254976K)] 694001K->452321K(779264K), 0.0308620 secs] [Times: user=0.06 sys=0.00, real=0.03 secs] 
96.794: [GC [PSYoungGen: 252384K->4736K(254464K)] 699617K->457057K(778752K), 0.0438851 secs] [Times: user=0.09 sys=0.00, real=0.04 secs] 
97.947: [GC [PSYoungGen: 252032K->6912K(253952K)] 704353K->464017K(778240K), 0.0636233 secs] [Times: user=0.14 sys=0.00, real=0.06 secs] 
99.149: [GC [PSYoungGen: 253696K->5472K(254464K)] 710801K->469121K(778752K), 0.0797183 secs] [Times: user=0.13 sys=0.00, real=0.09 secs] 
100.258: [GC [PSYoungGen: 252256K->5568K(254976K)] 715905K->474713K(779264K), 0.0293689 secs] [Times: user=0.11 sys=0.00, real=0.03 secs] 
101.327: [GC [PSYoungGen: 252864K->5568K(254464K)] 722009K->480297K(778752K), 0.0271529 secs] [Times: user=0.12 sys=0.00, real=0.03 secs] 
102.510: [GC [PSYoungGen: 252864K->4992K(254976K)] 727593K->485337K(779264K), 0.0601750 secs] [Times: user=0.11 sys=0.00, real=0.06 secs] 
103.714: [GC [PSYoungGen: 252800K->4864K(254976K)] 733145K->490233K(779264K), 0.0292346 secs] [Times: user=0.05 sys=0.00, real=0.03 secs] 
104.783: [GC [PSYoungGen: 252672K->6848K(253952K)] 738041K->497121K(778240K), 0.0462410 secs] [Times: user=0.14 sys=0.00, real=0.05 secs] 
105.780: [GC [PSYoungGen: 253632K->5216K(254464K)] 743905K->502017K(778752K), 0.0327642 secs] [Times: user=0.06 sys=0.00, real=0.03 secs] 
106.967: [GC [PSYoungGen: 252000K->5600K(254976K)] 748801K->524033K(779264K), 0.1342836 secs] [Times: user=0.41 sys=0.00, real=0.14 secs] 
107.101: [Full GC [PSYoungGen: 5600K->0K(254976K)] [ParOldGen: 518433K->497543K(524288K)] 524033K->497543K(779264K) [PSPermGen: 7623K->7623K(21504K)], 1.5129408 secs] [Times: user=3.88 sys=0.00, real=1.51 secs] 
109.621: [GC [PSYoungGen: 247296K->5312K(254464K)] 744839K->502855K(778752K), 0.0441979 secs] [Times: user=0.14 sys=0.00, real=0.05 secs] 
110.632: [GC [PSYoungGen: 252608K->7168K(251904K)] 750151K->507703K(776192K), 0.0337862 secs] [Times: user=0.09 sys=0.00, real=0.03 secs] 
111.630: [GC [PSYoungGen: 251904K->4736K(253440K)] 752439K->512519K(777728K), 0.0352534 secs] [Times: user=0.08 sys=0.00, real=0.03 secs] 
112.608: [GC [PSYoungGen: 249472K->8704K(249344K)] 757255K->519383K(773632K), 0.0390366 secs] [Times: user=0.06 sys=0.02, real=0.03 secs] 
113.573: [GC [PSYoungGen: 249344K->5536K(251392K)] 760023K->524663K(775680K), 0.0421056 secs] [Times: user=0.09 sys=0.00, real=0.05 secs] 
113.615: [Full GC [PSYoungGen: 5536K->0K(251392K)] [ParOldGen: 519127K->516906K(524288K)] 524663K->516906K(775680K) [PSPermGen: 7624K->7624K(21504K)], 1.7871707 secs] [Times: user=4.93 sys=0.00, real=1.79 secs] 
116.356: [Full GC [PSYoungGen: 240640K->0K(251392K)] [ParOldGen: 516906K->521227K(524288K)] 757546K->521227K(775680K) [PSPermGen: 7625K->7625K(21504K)], 1.6700591 secs] [Times: user=4.04 sys=0.01, real=1.67 secs] 
118.999: [Full GC [PSYoungGen: 240640K->1249K(251392K)] [ParOldGen: 521227K->524276K(524288K)] 761867K->525526K(775680K) [PSPermGen: 7625K->7625K(21504K)], 1.8610690 secs] [Times: user=4.46 sys=0.00, real=1.86 secs] 
121.790: [Full GC [PSYoungGen: 240640K->5193K(251392K)] [ParOldGen: 524276K->523833K(524288K)] 764916K->529026K(775680K) [PSPermGen: 7625K->7625K(21504K)], 1.9284726 secs] [Times: user=4.59 sys=0.00, real=1.92 secs] 
124.648: [Full GC [PSYoungGen: 240640K->8628K(251392K)] [ParOldGen: 523833K->524145K(524288K)] 764473K->532773K(775680K) [PSPermGen: 7625K->7625K(21504K)], 2.9718568 secs] [Times: user=7.19 sys=0.00, real=2.96 secs] 
128.518: [Full GC [PSYoungGen: 240640K->12727K(251392K)] [ParOldGen: 524145K->524121K(524288K)] 764785K->536848K(775680K) [PSPermGen: 7625K->7625K(21504K)], 2.9423690 secs] [Times: user=7.19 sys=0.02, real=2.95 secs] 
135.203: [Full GC [PSYoungGen: 240640K->16931K(251392K)] [ParOldGen: 524121K->524111K(524288K)] 764761K->541042K(775680K) [PSPermGen: 7625K->7625K(21504K)], 2.0586660 secs] [Times: user=5.07 sys=0.00, real=2.06 secs] 
138.964: [Full GC [PSYoungGen: 240640K->21095K(251392K)] [ParOldGen: 524111K->524136K(524288K)] 764751K->545232K(775680K) [PSPermGen: 7625K->7625K(21504K)], 1.8620733 secs] [Times: user=4.71 sys=0.00, real=1.87 secs] 
141.662: [Full GC [PSYoungGen: 240640K->24908K(251392K)] [ParOldGen: 524136K->524200K(524288K)] 764776K->549108K(775680K) [PSPermGen: 7625K->7625K(21504K)], 2.0620103 secs] [Times: user=5.09 sys=0.00, real=2.06 secs] 
144.578: [Full GC [PSYoungGen: 240640K->28079K(251392K)] [ParOldGen: 524200K->524111K(524288K)] 764840K->552191K(775680K) [PSPermGen: 7628K->7628K(21504K)], 2.0663146 secs] [Times: user=5.15 sys=0.00, real=2.08 secs] 
147.468: [Full GC [PSYoungGen: 240640K->31691K(251392K)] [ParOldGen: 524111K->523818K(524288K)] 764751K->555510K(775680K) [PSPermGen: 7630K->7630K(21504K)], 2.0980428 secs] [Times: user=5.12 sys=0.00, real=2.11 secs] 
150.373: [Full GC [PSYoungGen: 240640K->35107K(251392K)] [ParOldGen: 523818K->524104K(524288K)] 764458K->559212K(775680K) [PSPermGen: 7630K->7630K(21504K)], 2.1313454 secs] [Times: user=5.19 sys=0.02, real=2.12 secs] 
152.562: [Full GC [PSYoungGen: 39545K->35138K(251392K)] [ParOldGen: 524104K->524104K(524288K)] 563649K->559242K(775680K) [PSPermGen: 7630K->7630K(21504K)], 1.5444317 secs] [Times: user=3.92 sys=0.00, real=1.54 secs] 
161.741: [Full GC [PSYoungGen: 240640K->39268K(251392K)] [ParOldGen: 524104K->523879K(524288K)] 764744K->563148K(775680K) [PSPermGen: 7630K->7630K(21504K)], 2.1967727 secs] [Times: user=5.34 sys=0.01, real=2.20 secs] 
164.825: [Full GC [PSYoungGen: 240640K->42730K(251392K)] [ParOldGen: 523879K->524215K(524288K)] 764519K->566946K(775680K) [PSPermGen: 7630K->7630K(21504K)], 2.3364703 secs] [Times: user=5.48 sys=0.03, real=2.34 secs] 
168.001: [Full GC [PSYoungGen: 240640K->46354K(251392K)] [ParOldGen: 524215K->524003K(524288K)] 764855K->570358K(775680K) [PSPermGen: 7630K->7630K(21504K)], 1.9815764 secs] [Times: user=4.91 sys=0.03, real=1.98 secs] 
170.756: [Full GC [PSYoungGen: 240640K->49727K(251392K)] [ParOldGen: 524003K->523810K(524288K)] 764643K->573537K(775680K) [PSPermGen: 7630K->7630K(21504K)], 1.9651797 secs] [Times: user=4.74 sys=0.00, real=1.97 secs] 
173.472: [Full GC [PSYoungGen: 240640K->52310K(251392K)] [ParOldGen: 523810K->524033K(524288K)] 764450K->576344K(775680K) [PSPermGen: 7630K->7630K(21504K)], 2.1827824 secs] [Times: user=5.26 sys=0.01, real=2.18 secs] 
176.387: [Full GC [PSYoungGen: 240640K->55449K(251392K)] [ParOldGen: 524033K->523850K(524288K)] 764673K->579300K(775680K) [PSPermGen: 7630K->7630K(21504K)], 2.3138054 secs] [Times: user=5.44 sys=0.00, real=2.31 secs] 
179.425: [Full GC [PSYoungGen: 240640K->58227K(251392K)] [ParOldGen: 523850K->524165K(524288K)] 764490K->582393K(775680K) [PSPermGen: 7630K->7630K(21504K)], 3.2703722 secs] [Times: user=8.16 sys=0.00, real=3.28 secs] 
183.421: [Full GC [PSYoungGen: 240640K->61967K(251392K)] [ParOldGen: 524165K->524066K(524288K)] 764805K->586034K(775680K) [PSPermGen: 7630K->7630K(21504K)], 2.3211220 secs] [Times: user=5.10 sys=0.00, real=2.32 secs] 
186.450: [Full GC [PSYoungGen: 240640K->65307K(251392K)] [ParOldGen: 524066K->523946K(524288K)] 764706K->589254K(775680K) [PSPermGen: 7630K->7630K(21504K)], 2.0874165 secs] [Times: user=4.99 sys=0.02, real=2.08 secs] 
189.231: [Full GC [PSYoungGen: 240640K->68412K(251392K)] [ParOldGen: 523946K->523796K(524288K)] 764586K->592208K(775680K) [PSPermGen: 7630K->7630K(21504K)], 2.2075313 secs] [Times: user=5.35 sys=0.00, real=2.20 secs] 
192.122: [Full GC
